model,condition,task_id,task_pass_rate
claude-3-haiku-20240307,caution,HumanEval/4,1.0
claude-3-haiku-20240307,caution,HumanEval/40,1.0
claude-3-haiku-20240307,caution,HumanEval/41,0.3
claude-3-haiku-20240307,caution,HumanEval/42,1.0
claude-3-haiku-20240307,caution,HumanEval/43,0.9
claude-3-haiku-20240307,caution,HumanEval/44,1.0
claude-3-haiku-20240307,caution,HumanEval/45,1.0
claude-3-haiku-20240307,caution,HumanEval/46,0.8
claude-3-haiku-20240307,caution,HumanEval/47,1.0
claude-3-haiku-20240307,caution,HumanEval/48,0.9
claude-3-haiku-20240307,caution,HumanEval/49,0.5
claude-3-haiku-20240307,caution,HumanEval/5,1.0
claude-3-haiku-20240307,caution,HumanEval/50,1.0
claude-3-haiku-20240307,caution,HumanEval/51,1.0
claude-3-haiku-20240307,caution,HumanEval/52,1.0
claude-3-haiku-20240307,caution,HumanEval/53,1.0
claude-3-haiku-20240307,caution,HumanEval/54,0.8
claude-3-haiku-20240307,caution,HumanEval/55,0.9
claude-3-haiku-20240307,caution,HumanEval/56,0.9
claude-3-haiku-20240307,caution,HumanEval/57,1.0
claude-3-haiku-20240307,caution,HumanEval/58,1.0
claude-3-haiku-20240307,caution,HumanEval/59,0.8
claude-3-haiku-20240307,caution,HumanEval/6,0.9
claude-3-haiku-20240307,caution,HumanEval/60,1.0
claude-3-haiku-20240307,caution,HumanEval/61,1.0
claude-3-haiku-20240307,caution,HumanEval/62,1.0
claude-3-haiku-20240307,caution,HumanEval/63,1.0
claude-3-haiku-20240307,caution,HumanEval/64,0.3
claude-3-haiku-20240307,caution,HumanEval/65,0.6
claude-3-haiku-20240307,caution,HumanEval/66,1.0
claude-3-haiku-20240307,caution,HumanEval/67,0.6
claude-3-haiku-20240307,caution,HumanEval/68,1.0
claude-3-haiku-20240307,caution,HumanEval/69,1.0
claude-3-haiku-20240307,caution,HumanEval/7,1.0
claude-3-haiku-20240307,caution,HumanEval/70,1.0
claude-3-haiku-20240307,caution,HumanEval/71,0.0
claude-3-haiku-20240307,caution,HumanEval/72,1.0
claude-3-haiku-20240307,caution,HumanEval/73,0.0
claude-3-haiku-20240307,caution,HumanEval/74,1.0
claude-3-haiku-20240307,caution,HumanEval/75,0.0
claude-3-haiku-20240307,caution,HumanEval/76,0.5
claude-3-haiku-20240307,caution,HumanEval/77,0.0
claude-3-haiku-20240307,caution,HumanEval/78,0.3
claude-3-haiku-20240307,caution,HumanEval/79,0.6
claude-3-haiku-20240307,caution,HumanEval/8,0.8
claude-3-haiku-20240307,caution,HumanEval/80,1.0
claude-3-haiku-20240307,caution,HumanEval/81,1.0
claude-3-haiku-20240307,caution,HumanEval/82,0.0
claude-3-haiku-20240307,caution,HumanEval/83,1.0
claude-3-haiku-20240307,caution,HumanEval/84,1.0
claude-3-haiku-20240307,caution,HumanEval/85,1.0
claude-3-haiku-20240307,caution,HumanEval/86,1.0
claude-3-haiku-20240307,caution,HumanEval/87,1.0
claude-3-haiku-20240307,caution,HumanEval/88,1.0
claude-3-haiku-20240307,caution,HumanEval/89,0.8
claude-3-haiku-20240307,caution,HumanEval/9,1.0
claude-3-haiku-20240307,caution,HumanEval/90,1.0
claude-3-haiku-20240307,caution,HumanEval/91,0.6
claude-3-haiku-20240307,caution,HumanEval/92,1.0
claude-3-haiku-20240307,caution,HumanEval/93,0.0
claude-3-haiku-20240307,caution,HumanEval/94,0.0
claude-3-haiku-20240307,caution,HumanEval/95,0.0
claude-3-haiku-20240307,caution,HumanEval/96,0.0
claude-3-haiku-20240307,caution,HumanEval/97,1.0
claude-3-haiku-20240307,caution,HumanEval/98,0.8
claude-3-haiku-20240307,caution,HumanEval/99,0.7
claude-3-haiku-20240307,neutral,HumanEval/0,1.0
claude-3-haiku-20240307,neutral,HumanEval/1,1.0
claude-3-haiku-20240307,neutral,HumanEval/10,0.1
claude-3-haiku-20240307,neutral,HumanEval/100,0.6
claude-3-haiku-20240307,neutral,HumanEval/101,0.0
claude-3-haiku-20240307,neutral,HumanEval/102,1.0
claude-3-haiku-20240307,neutral,HumanEval/103,1.0
claude-3-haiku-20240307,neutral,HumanEval/104,1.0
claude-3-haiku-20240307,neutral,HumanEval/105,1.0
claude-3-haiku-20240307,neutral,HumanEval/106,1.0
claude-3-haiku-20240307,neutral,HumanEval/107,1.0
claude-3-haiku-20240307,neutral,HumanEval/108,0.0
claude-3-haiku-20240307,neutral,HumanEval/109,1.0
claude-3-haiku-20240307,neutral,HumanEval/11,1.0
claude-3-haiku-20240307,neutral,HumanEval/110,0.1
claude-3-haiku-20240307,neutral,HumanEval/111,1.0
claude-3-haiku-20240307,neutral,HumanEval/112,1.0
claude-3-haiku-20240307,neutral,HumanEval/113,0.3
claude-3-haiku-20240307,neutral,HumanEval/114,0.9
claude-3-haiku-20240307,neutral,HumanEval/115,0.0
claude-3-haiku-20240307,neutral,HumanEval/116,0.3
claude-3-haiku-20240307,neutral,HumanEval/117,1.0
claude-3-haiku-20240307,neutral,HumanEval/118,0.4
claude-3-haiku-20240307,neutral,HumanEval/119,0.0
claude-3-haiku-20240307,neutral,HumanEval/12,1.0
claude-3-haiku-20240307,neutral,HumanEval/120,0.0
claude-3-haiku-20240307,neutral,HumanEval/121,0.5
claude-3-haiku-20240307,neutral,HumanEval/122,0.5
claude-3-haiku-20240307,neutral,HumanEval/123,0.3
claude-3-haiku-20240307,neutral,HumanEval/124,1.0
claude-3-haiku-20240307,neutral,HumanEval/125,0.0
claude-3-haiku-20240307,neutral,HumanEval/126,0.1
claude-3-haiku-20240307,neutral,HumanEval/127,0.0
claude-3-haiku-20240307,neutral,HumanEval/128,0.4
claude-3-haiku-20240307,neutral,HumanEval/129,0.0
claude-3-haiku-20240307,neutral,HumanEval/13,1.0
claude-3-haiku-20240307,neutral,HumanEval/130,0.0
claude-3-haiku-20240307,neutral,HumanEval/131,1.0
claude-3-haiku-20240307,neutral,HumanEval/132,0.0
claude-3-haiku-20240307,neutral,HumanEval/133,1.0
claude-3-haiku-20240307,neutral,HumanEval/134,0.2
claude-3-haiku-20240307,neutral,HumanEval/135,0.8
claude-3-haiku-20240307,neutral,HumanEval/136,1.0
claude-3-haiku-20240307,neutral,HumanEval/137,0.0
claude-3-haiku-20240307,neutral,HumanEval/138,0.1
claude-3-haiku-20240307,neutral,HumanEval/139,1.0
claude-3-haiku-20240307,neutral,HumanEval/14,1.0
claude-3-haiku-20240307,neutral,HumanEval/140,0.0
claude-3-haiku-20240307,neutral,HumanEval/141,1.0
claude-3-haiku-20240307,neutral,HumanEval/142,1.0
claude-3-haiku-20240307,neutral,HumanEval/143,1.0
claude-3-haiku-20240307,neutral,HumanEval/144,0.9
claude-3-haiku-20240307,neutral,HumanEval/145,0.0
claude-3-haiku-20240307,neutral,HumanEval/146,0.4
claude-3-haiku-20240307,neutral,HumanEval/147,1.0
claude-3-haiku-20240307,neutral,HumanEval/148,1.0
claude-3-haiku-20240307,neutral,HumanEval/149,1.0
claude-3-haiku-20240307,neutral,HumanEval/15,1.0
claude-3-haiku-20240307,neutral,HumanEval/150,1.0
claude-3-haiku-20240307,neutral,HumanEval/151,1.0
claude-3-haiku-20240307,neutral,HumanEval/152,1.0
claude-3-haiku-20240307,neutral,HumanEval/153,0.8
claude-3-haiku-20240307,neutral,HumanEval/154,1.0
claude-3-haiku-20240307,neutral,HumanEval/155,0.7
claude-3-haiku-20240307,neutral,HumanEval/156,1.0
claude-3-haiku-20240307,neutral,HumanEval/157,0.9
claude-3-haiku-20240307,neutral,HumanEval/158,1.0
claude-3-haiku-20240307,neutral,HumanEval/159,1.0
claude-3-haiku-20240307,neutral,HumanEval/16,1.0
claude-3-haiku-20240307,neutral,HumanEval/160,0.0
claude-3-haiku-20240307,neutral,HumanEval/161,1.0
claude-3-haiku-20240307,neutral,HumanEval/162,1.0
claude-3-haiku-20240307,neutral,HumanEval/163,0.0
claude-3-haiku-20240307,neutral,HumanEval/17,1.0
claude-3-haiku-20240307,neutral,HumanEval/18,1.0
claude-3-haiku-20240307,neutral,HumanEval/19,1.0
claude-3-haiku-20240307,neutral,HumanEval/2,1.0
claude-3-haiku-20240307,neutral,HumanEval/20,1.0
claude-3-haiku-20240307,neutral,HumanEval/21,1.0
claude-3-haiku-20240307,neutral,HumanEval/22,1.0
claude-3-haiku-20240307,neutral,HumanEval/23,0.9
claude-3-haiku-20240307,neutral,HumanEval/24,1.0
claude-3-haiku-20240307,neutral,HumanEval/25,1.0
claude-3-haiku-20240307,neutral,HumanEval/26,0.1
claude-3-haiku-20240307,neutral,HumanEval/27,1.0
claude-3-haiku-20240307,neutral,HumanEval/28,1.0
claude-3-haiku-20240307,neutral,HumanEval/29,0.7
claude-3-haiku-20240307,neutral,HumanEval/3,1.0
claude-3-haiku-20240307,neutral,HumanEval/30,1.0
claude-3-haiku-20240307,neutral,HumanEval/31,1.0
claude-3-haiku-20240307,neutral,HumanEval/32,0.0
claude-3-haiku-20240307,neutral,HumanEval/33,0.6
claude-3-haiku-20240307,neutral,HumanEval/34,1.0
claude-3-haiku-20240307,neutral,HumanEval/35,1.0
claude-3-haiku-20240307,neutral,HumanEval/36,0.0
claude-3-haiku-20240307,neutral,HumanEval/37,1.0
claude-3-haiku-20240307,neutral,HumanEval/38,1.0
claude-3-haiku-20240307,neutral,HumanEval/39,0.0
claude-3-haiku-20240307,neutral,HumanEval/4,1.0
claude-3-haiku-20240307,neutral,HumanEval/40,1.0
claude-3-haiku-20240307,neutral,HumanEval/41,0.6
claude-3-haiku-20240307,neutral,HumanEval/42,1.0
claude-3-haiku-20240307,neutral,HumanEval/43,1.0
claude-3-haiku-20240307,neutral,HumanEval/44,1.0
claude-3-haiku-20240307,neutral,HumanEval/45,0.9
claude-3-haiku-20240307,neutral,HumanEval/46,0.5
claude-3-haiku-20240307,neutral,HumanEval/47,1.0
claude-3-haiku-20240307,neutral,HumanEval/48,1.0
claude-3-haiku-20240307,neutral,HumanEval/49,0.2
claude-3-haiku-20240307,neutral,HumanEval/5,1.0
claude-3-haiku-20240307,neutral,HumanEval/50,1.0
claude-3-haiku-20240307,neutral,HumanEval/51,1.0
claude-3-haiku-20240307,neutral,HumanEval/52,1.0
claude-3-haiku-20240307,neutral,HumanEval/53,0.4
claude-3-haiku-20240307,neutral,HumanEval/54,0.7
claude-3-haiku-20240307,neutral,HumanEval/55,1.0
claude-3-haiku-20240307,neutral,HumanEval/56,1.0
claude-3-haiku-20240307,neutral,HumanEval/57,1.0
claude-3-haiku-20240307,neutral,HumanEval/58,1.0
claude-3-haiku-20240307,neutral,HumanEval/59,1.0
claude-3-haiku-20240307,neutral,HumanEval/6,1.0
claude-3-haiku-20240307,neutral,HumanEval/60,1.0
claude-3-haiku-20240307,neutral,HumanEval/61,1.0
claude-3-haiku-20240307,neutral,HumanEval/62,1.0
claude-3-haiku-20240307,neutral,HumanEval/63,1.0
claude-3-haiku-20240307,neutral,HumanEval/64,0.1
claude-3-haiku-20240307,neutral,HumanEval/65,0.9
claude-3-haiku-20240307,neutral,HumanEval/66,1.0
claude-3-haiku-20240307,neutral,HumanEval/67,0.3
claude-3-haiku-20240307,neutral,HumanEval/68,1.0
claude-3-haiku-20240307,neutral,HumanEval/69,1.0
claude-3-haiku-20240307,neutral,HumanEval/7,1.0
claude-3-haiku-20240307,neutral,HumanEval/70,1.0
claude-3-haiku-20240307,neutral,HumanEval/71,1.0
claude-3-haiku-20240307,neutral,HumanEval/72,1.0
claude-3-haiku-20240307,neutral,HumanEval/73,0.1
claude-3-haiku-20240307,neutral,HumanEval/74,1.0
claude-3-haiku-20240307,neutral,HumanEval/75,0.0
claude-3-haiku-20240307,neutral,HumanEval/76,0.8
claude-3-haiku-20240307,neutral,HumanEval/77,0.0
claude-3-haiku-20240307,neutral,HumanEval/78,0.5
claude-3-haiku-20240307,neutral,HumanEval/79,0.9
claude-3-haiku-20240307,neutral,HumanEval/8,0.7
claude-3-haiku-20240307,neutral,HumanEval/80,1.0
claude-3-haiku-20240307,neutral,HumanEval/81,1.0
claude-3-haiku-20240307,neutral,HumanEval/82,1.0
claude-3-haiku-20240307,neutral,HumanEval/83,1.0
claude-3-haiku-20240307,neutral,HumanEval/84,1.0
claude-3-haiku-20240307,neutral,HumanEval/85,1.0
claude-3-haiku-20240307,neutral,HumanEval/86,1.0
claude-3-haiku-20240307,neutral,HumanEval/87,1.0
claude-3-haiku-20240307,neutral,HumanEval/88,1.0
claude-3-haiku-20240307,neutral,HumanEval/89,1.0
claude-3-haiku-20240307,neutral,HumanEval/9,1.0
claude-3-haiku-20240307,neutral,HumanEval/90,0.9
claude-3-haiku-20240307,neutral,HumanEval/91,1.0
claude-3-haiku-20240307,neutral,HumanEval/92,1.0
claude-3-haiku-20240307,neutral,HumanEval/93,0.0
claude-3-haiku-20240307,neutral,HumanEval/94,1.0
claude-3-haiku-20240307,neutral,HumanEval/95,0.6
claude-3-haiku-20240307,neutral,HumanEval/96,1.0
claude-3-haiku-20240307,neutral,HumanEval/97,1.0
claude-3-haiku-20240307,neutral,HumanEval/98,0.2
claude-3-haiku-20240307,neutral,HumanEval/99,0.4
claude-3-haiku-20240307,reputation,HumanEval/0,1.0
claude-3-haiku-20240307,reputation,HumanEval/1,0.9
claude-3-haiku-20240307,reputation,HumanEval/10,0.0
claude-3-haiku-20240307,reputation,HumanEval/100,0.3
claude-3-haiku-20240307,reputation,HumanEval/101,0.0
claude-3-haiku-20240307,reputation,HumanEval/102,1.0
claude-3-haiku-20240307,reputation,HumanEval/103,1.0
claude-3-haiku-20240307,reputation,HumanEval/104,1.0
claude-3-haiku-20240307,reputation,HumanEval/105,1.0
claude-3-haiku-20240307,reputation,HumanEval/106,1.0
claude-3-haiku-20240307,reputation,HumanEval/107,1.0
claude-3-haiku-20240307,reputation,HumanEval/108,0.0
claude-3-haiku-20240307,reputation,HumanEval/109,1.0
claude-3-haiku-20240307,reputation,HumanEval/11,1.0
claude-3-haiku-20240307,reputation,HumanEval/110,0.1
claude-3-haiku-20240307,reputation,HumanEval/111,1.0
claude-3-haiku-20240307,reputation,HumanEval/112,0.9
claude-3-haiku-20240307,reputation,HumanEval/113,0.2
claude-3-haiku-20240307,reputation,HumanEval/114,1.0
claude-3-haiku-20240307,reputation,HumanEval/115,0.5
claude-3-haiku-20240307,reputation,HumanEval/116,0.5
claude-3-haiku-20240307,reputation,HumanEval/117,1.0
claude-3-haiku-20240307,reputation,HumanEval/118,0.0
claude-3-haiku-20240307,reputation,HumanEval/119,0.0
claude-3-haiku-20240307,reputation,HumanEval/12,1.0
claude-3-haiku-20240307,reputation,HumanEval/120,0.0
claude-3-haiku-20240307,reputation,HumanEval/121,0.8
claude-3-haiku-20240307,reputation,HumanEval/122,0.0
claude-3-haiku-20240307,reputation,HumanEval/123,0.8
claude-3-haiku-20240307,reputation,HumanEval/124,1.0
claude-3-haiku-20240307,reputation,HumanEval/125,0.0
claude-3-haiku-20240307,reputation,HumanEval/126,0.0
claude-3-haiku-20240307,reputation,HumanEval/127,0.0
claude-3-haiku-20240307,reputation,HumanEval/128,0.5
claude-3-haiku-20240307,reputation,HumanEval/129,0.0
claude-3-haiku-20240307,reputation,HumanEval/13,1.0
claude-3-haiku-20240307,reputation,HumanEval/130,0.0
claude-3-haiku-20240307,reputation,HumanEval/131,0.0
claude-3-haiku-20240307,reputation,HumanEval/132,0.0
claude-3-haiku-20240307,reputation,HumanEval/133,0.0
claude-3-haiku-20240307,reputation,HumanEval/134,0.1
claude-3-haiku-20240307,reputation,HumanEval/135,1.0
claude-3-haiku-20240307,reputation,HumanEval/136,1.0
claude-3-haiku-20240307,reputation,HumanEval/137,0.5
claude-3-haiku-20240307,reputation,HumanEval/138,0.5
claude-3-haiku-20240307,reputation,HumanEval/139,1.0
claude-3-haiku-20240307,reputation,HumanEval/14,1.0
claude-3-haiku-20240307,reputation,HumanEval/140,0.0
claude-3-haiku-20240307,reputation,HumanEval/141,1.0
claude-3-haiku-20240307,reputation,HumanEval/142,1.0
claude-3-haiku-20240307,reputation,HumanEval/143,0.1
claude-3-haiku-20240307,reputation,HumanEval/144,0.9
claude-3-haiku-20240307,reputation,HumanEval/145,0.0
claude-3-haiku-20240307,reputation,HumanEval/146,0.7
claude-3-haiku-20240307,reputation,HumanEval/147,1.0
claude-3-haiku-20240307,reputation,HumanEval/148,0.9
claude-3-haiku-20240307,reputation,HumanEval/149,1.0
claude-3-haiku-20240307,reputation,HumanEval/15,1.0
claude-3-haiku-20240307,reputation,HumanEval/150,0.3
claude-3-haiku-20240307,reputation,HumanEval/151,1.0
claude-3-haiku-20240307,reputation,HumanEval/152,1.0
claude-3-haiku-20240307,reputation,HumanEval/153,0.2
claude-3-haiku-20240307,reputation,HumanEval/154,1.0
claude-3-haiku-20240307,reputation,HumanEval/155,0.8
claude-3-haiku-20240307,reputation,HumanEval/156,1.0
claude-3-haiku-20240307,reputation,HumanEval/157,1.0
claude-3-haiku-20240307,reputation,HumanEval/158,1.0
claude-3-haiku-20240307,reputation,HumanEval/159,0.6
claude-3-haiku-20240307,reputation,HumanEval/16,1.0
claude-3-haiku-20240307,reputation,HumanEval/160,0.0
claude-3-haiku-20240307,reputation,HumanEval/161,1.0
claude-3-haiku-20240307,reputation,HumanEval/162,0.0
claude-3-haiku-20240307,reputation,HumanEval/163,0.0
claude-3-haiku-20240307,reputation,HumanEval/17,1.0
claude-3-haiku-20240307,reputation,HumanEval/18,0.8
claude-3-haiku-20240307,reputation,HumanEval/19,1.0
claude-3-haiku-20240307,reputation,HumanEval/2,1.0
claude-3-haiku-20240307,reputation,HumanEval/20,1.0
claude-3-haiku-20240307,reputation,HumanEval/21,1.0
claude-3-haiku-20240307,reputation,HumanEval/22,1.0
claude-3-haiku-20240307,reputation,HumanEval/23,1.0
claude-3-haiku-20240307,reputation,HumanEval/24,1.0
claude-3-haiku-20240307,reputation,HumanEval/25,1.0
claude-3-haiku-20240307,reputation,HumanEval/26,0.0
claude-3-haiku-20240307,reputation,HumanEval/27,1.0
claude-3-haiku-20240307,reputation,HumanEval/28,1.0
claude-3-haiku-20240307,reputation,HumanEval/29,1.0
claude-3-haiku-20240307,reputation,HumanEval/3,1.0
claude-3-haiku-20240307,reputation,HumanEval/30,1.0
claude-3-haiku-20240307,reputation,HumanEval/31,1.0
claude-3-haiku-20240307,reputation,HumanEval/32,0.0
claude-3-haiku-20240307,reputation,HumanEval/33,0.9
claude-3-haiku-20240307,reputation,HumanEval/34,1.0
claude-3-haiku-20240307,reputation,HumanEval/35,1.0
claude-3-haiku-20240307,reputation,HumanEval/36,0.0
claude-3-haiku-20240307,reputation,HumanEval/37,1.0
claude-3-haiku-20240307,reputation,HumanEval/38,0.9
claude-3-haiku-20240307,reputation,HumanEval/39,0.0
claude-3-haiku-20240307,reputation,HumanEval/4,1.0
claude-3-haiku-20240307,reputation,HumanEval/40,1.0
claude-3-haiku-20240307,reputation,HumanEval/41,1.0
claude-3-haiku-20240307,reputation,HumanEval/42,1.0
claude-3-haiku-20240307,reputation,HumanEval/43,1.0
claude-3-haiku-20240307,reputation,HumanEval/44,1.0
claude-3-haiku-20240307,reputation,HumanEval/45,1.0
claude-3-haiku-20240307,reputation,HumanEval/46,0.5
claude-3-haiku-20240307,reputation,HumanEval/47,1.0
claude-3-haiku-20240307,reputation,HumanEval/48,1.0
claude-3-haiku-20240307,reputation,HumanEval/49,1.0
claude-3-haiku-20240307,reputation,HumanEval/5,1.0
claude-3-haiku-20240307,reputation,HumanEval/50,0.9
claude-3-haiku-20240307,reputation,HumanEval/51,1.0
claude-3-haiku-20240307,reputation,HumanEval/52,1.0
claude-3-haiku-20240307,reputation,HumanEval/53,1.0
claude-3-haiku-20240307,reputation,HumanEval/54,0.0
claude-3-haiku-20240307,reputation,HumanEval/55,1.0
claude-3-haiku-20240307,reputation,HumanEval/56,1.0
claude-3-haiku-20240307,reputation,HumanEval/57,1.0
claude-3-haiku-20240307,reputation,HumanEval/58,1.0
claude-3-haiku-20240307,reputation,HumanEval/59,1.0
claude-3-haiku-20240307,reputation,HumanEval/6,0.6
claude-3-haiku-20240307,reputation,HumanEval/60,1.0
claude-3-haiku-20240307,reputation,HumanEval/61,1.0
claude-3-haiku-20240307,reputation,HumanEval/62,0.8
claude-3-haiku-20240307,reputation,HumanEval/63,1.0
claude-3-haiku-20240307,reputation,HumanEval/64,1.0
claude-3-haiku-20240307,reputation,HumanEval/65,0.7
claude-3-haiku-20240307,reputation,HumanEval/66,1.0
claude-3-haiku-20240307,reputation,HumanEval/67,0.3
claude-3-haiku-20240307,reputation,HumanEval/68,1.0
claude-3-haiku-20240307,reputation,HumanEval/69,0.9
claude-3-haiku-20240307,reputation,HumanEval/7,1.0
claude-3-haiku-20240307,reputation,HumanEval/70,1.0
claude-3-haiku-20240307,reputation,HumanEval/71,0.0
claude-3-haiku-20240307,reputation,HumanEval/72,1.0
claude-3-haiku-20240307,reputation,HumanEval/73,1.0
claude-3-haiku-20240307,reputation,HumanEval/74,1.0
claude-3-haiku-20240307,reputation,HumanEval/75,0.2
claude-3-haiku-20240307,reputation,HumanEval/76,1.0
claude-3-haiku-20240307,reputation,HumanEval/77,0.0
claude-3-haiku-20240307,reputation,HumanEval/78,0.4
claude-3-haiku-20240307,reputation,HumanEval/79,1.0
claude-3-haiku-20240307,reputation,HumanEval/8,1.0
claude-3-haiku-20240307,reputation,HumanEval/80,1.0
claude-3-haiku-20240307,reputation,HumanEval/81,1.0
claude-3-haiku-20240307,reputation,HumanEval/82,0.0
claude-3-haiku-20240307,reputation,HumanEval/83,0.6
claude-3-haiku-20240307,reputation,HumanEval/84,1.0
claude-3-haiku-20240307,reputation,HumanEval/85,1.0
claude-3-haiku-20240307,reputation,HumanEval/86,1.0
claude-3-haiku-20240307,reputation,HumanEval/87,1.0
claude-3-haiku-20240307,reputation,HumanEval/88,1.0
claude-3-haiku-20240307,reputation,HumanEval/89,1.0
claude-3-haiku-20240307,reputation,HumanEval/9,1.0
claude-3-haiku-20240307,reputation,HumanEval/90,1.0
claude-3-haiku-20240307,reputation,HumanEval/91,0.9
claude-3-haiku-20240307,reputation,HumanEval/92,1.0
claude-3-haiku-20240307,reputation,HumanEval/93,0.0
claude-3-haiku-20240307,reputation,HumanEval/94,1.0
